"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "vue", "XML", "SCSS", "comment", "blank", "total"
"d:\share12\three-template-master\src\packages\icon\svg\arrowUpBold.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\back.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\bottom.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\bottomLeft .svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\bottomRight.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\calendar.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\cascader.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\cellphone.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\checkbox.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\circleClose.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\circleMinus.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\circlePlus.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\clear0.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\clear1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\collapse.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\copy.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\delete.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
